
2022/10/24 (22:44:29) | ===> btop++ v.1.2.12
2022/10/24 (22:44:32) | ERROR: Stall in Runner thread, restarting!
2022/10/24 (22:44:52) | ERROR: Stall in Runner thread, restarting!
2022/10/24 (22:45:55) | WARNING: Failed to join _runner thread on exit!

2022/10/24 (22:45:59) | ===> btop++ v.1.2.12
2022/10/24 (22:45:59) | WARNING: Failed to join _runner thread on exit!

2022/10/24 (22:46:41) | ===> btop++ v.1.2.12
2022/10/24 (22:46:41) | WARNING: Failed to join _runner thread on exit!

2022/10/24 (22:49:00) | ===> btop++ v.1.2.12
2022/10/24 (22:49:00) | WARNING: Failed to join _runner thread on exit!

2022/10/25 (01:59:40) | ===> btop++ v.1.2.12
2022/10/25 (01:59:40) | WARNING: Failed to join _runner thread on exit!

2022/10/25 (17:31:34) | ===> btop++ v.1.2.12
2022/10/25 (17:31:34) | WARNING: Failed to join _runner thread on exit!

2022/10/25 (17:40:11) | ===> btop++ v.1.2.12
2022/10/25 (17:40:11) | WARNING: Failed to join _runner thread on exit!

2022/10/25 (23:38:36) | ===> btop++ v.1.2.12
2022/10/25 (23:38:36) | ERROR: Stall in Runner thread, restarting!
2022/10/26 (00:16:08) | WARNING: Failed to join _runner thread on exit!

2022/10/26 (23:23:12) | ===> btop++ v.1.2.12
2022/10/26 (23:23:12) | WARNING: Failed to join _runner thread on exit!

2022/10/27 (00:36:52) | ===> btop++ v.1.2.12
2022/10/27 (00:36:52) | WARNING: Failed to join _runner thread on exit!

2022/10/27 (13:37:38) | ===> btop++ v.1.2.12
2022/10/27 (13:37:38) | WARNING: Failed to join _runner thread on exit!

2022/10/27 (15:28:09) | ===> btop++ v.1.2.12
2022/10/27 (15:28:09) | WARNING: Failed to join _runner thread on exit!

2022/10/27 (22:25:38) | ===> btop++ v.1.2.12
2022/10/27 (22:25:38) | WARNING: Failed to join _runner thread on exit!

2022/10/29 (18:34:01) | ===> btop++ v.1.2.12
2022/10/29 (18:34:01) | ERROR: Stall in Runner thread, restarting!

2022/10/29 (20:37:34) | ===> btop++ v.1.2.12
2022/10/29 (20:37:34) | ERROR: Stall in Runner thread, restarting!

